,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadRating_rating-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUniqueId_unique-id-service->UploadUniqueId_compose-review-service->UploadUserReview_user-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUserWithUsername_user-service->UploadUserId_compose-review-service->UploadMovieReview_movie-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadText_text-service,->_nginx,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadText_text-service->UploadText_compose-review-service->StoreReview_review-storage-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadText_text-service->UploadText_compose-review-service->UploadMovieReview_movie-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadMovieId_compose-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadRating_rating-service->UploadRating_compose-review-service->StoreReview_review-storage-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadText_text-service->UploadText_compose-review-service->UploadUserReview_user-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUniqueId_unique-id-service->UploadUniqueId_compose-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadMovieId_compose-review-service->UploadMovieReview_movie-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadText_text-service->UploadText_compose-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUniqueId_unique-id-service->UploadUniqueId_compose-review-service->StoreReview_review-storage-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUniqueId_unique-id-service->UploadUniqueId_compose-review-service->UploadMovieReview_movie-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx,->/wrk2-api/review/compose_nginx,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadMovieId_compose-review-service->UploadUserReview_user-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUserWithUsername_user-service->UploadUserId_compose-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadRating_rating-service->UploadRating_compose-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUserWithUsername_user-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUniqueId_unique-id-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadRating_rating-service->UploadRating_compose-review-service->UploadMovieReview_movie-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUserWithUsername_user-service->UploadUserId_compose-review-service->UploadUserReview_user-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadRating_rating-service->UploadRating_compose-review-service->UploadUserReview_user-review-service,27
0,-1,-1,1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,121,4245,-1,-1,-1,3114,-1,-1,-1,-1,5416,1983
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,405,4314,1284,-1,-1,3377,-1,-1,-1,-1,2101,3727
2,1199,-1,1177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3314,3804,-1,-1,-1,4354,-1,-1,3720,-1,-1,-1
3,-1,-1,86,514,5319,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1173,1128,-1,-1,-1,-1,-1,-1,-1,-1,301
4,-1,-1,1329,-1,-1,-1,-1,-1,-1,332,-1,-1,-1,-1,-1,-1,3095,373,4235,-1,-1,4799,-1,-1,-1,-1,-1,5178
5,-1,-1,1304,-1,6175,-1,-1,5504,-1,-1,-1,-1,-1,5400,-1,-1,-1,-1,4763,-1,-1,-1,-1,-1,-1,-1,-1,1282
6,1058,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2233,4233,3830,-1,-1,118,-1,-1,-1,-1,-1,3417
7,2541,-1,1348,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1333,4406,85,-1,-1,83,-1,-1,738,-1,-1,-1
8,-1,-1,101,3481,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1314,-1,4651,-1,4359,-1,-1,-1,-1,4262
9,5145,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2393,1056,-1,-1,-1,1079,-1,-1,3787,-1,-1,-1
10,-1,-1,3820,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2389,3456,-1,-1,-1,1126,-1,-1,-1,-1,100,3912
11,-1,-1,5098,-1,-1,-1,-1,-1,-1,-1,-1,4625,-1,-1,-1,3068,-1,1156,-1,-1,-1,-1,-1,4730,-1,-1,-1,3299
12,-1,-1,4669,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4456,-1,4358,-1,-1,1340,-1,-1,1364,-1,-1,140
13,3901,-1,2482,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1161,-1,-1,-1,99,-1,-1,-1,-1,3431,1173
14,3213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3790,1176,-1,-1,3890,-1,-1,4077,-1,-1,94
15,3547,-1,3201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2106,-1,3644,-1,-1,3855,-1,-1,-1,-1,-1,109
16,-1,-1,-1,-1,-1,359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43
17,5329,-1,4840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3348,109,-1,-1,1484,-1,-1,-1,-1,-1,1464
18,1415,-1,1395,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,397,-1,2325,-1,-1,4547,-1,5444,-1,-1,92,-1
19,-1,-1,4200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1206,1184,2758,-1,-1,4922,-1,-1,109,-1,-1,-1
20,4482,-1,3801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1161,-1,3901,-1,-1,99,-1,-1,-1,-1,1173,-1
21,1054,-1,2356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3805,-1,-1,-1,3356,-1,-1,-1,-1,1077,3716
22,1356,-1,2571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3388,3719,95,-1,-1,-1,-1,-1,-1,-1,-1,3833
