,index,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadRating_rating-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUniqueId_unique-id-service->UploadUniqueId_compose-review-service->UploadUserReview_user-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUserWithUsername_user-service->UploadUserId_compose-review-service->UploadMovieReview_movie-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadText_text-service,->_nginx,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadText_text-service->UploadText_compose-review-service->StoreReview_review-storage-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadText_text-service->UploadText_compose-review-service->UploadMovieReview_movie-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadMovieId_compose-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadRating_rating-service->UploadRating_compose-review-service->StoreReview_review-storage-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadText_text-service->UploadText_compose-review-service->UploadUserReview_user-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUniqueId_unique-id-service->UploadUniqueId_compose-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadMovieId_compose-review-service->UploadMovieReview_movie-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadText_text-service->UploadText_compose-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUniqueId_unique-id-service->UploadUniqueId_compose-review-service->StoreReview_review-storage-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUniqueId_unique-id-service->UploadUniqueId_compose-review-service->UploadMovieReview_movie-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx,->/wrk2-api/review/compose_nginx,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadMovieId_compose-review-service->UploadUserReview_user-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUserWithUsername_user-service->UploadUserId_compose-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadRating_rating-service->UploadRating_compose-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUserWithUsername_user-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUniqueId_unique-id-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadRating_rating-service->UploadRating_compose-review-service->UploadMovieReview_movie-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadUserWithUsername_user-service->UploadUserId_compose-review-service->UploadUserReview_user-review-service,->/wrk2-api/review/compose_nginx->/wrk2-api/review/compose_nginx->ComposeReview_nginx->UploadMovieId_movie-id-service->UploadRating_rating-service->UploadRating_compose-review-service->UploadUserReview_user-review-service,27,label
0,528,2696,-1,3779,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,146,4493,4623,-1,-1,1466,-1,-1,-1,-1,1453,6002,1
1,975,2373,-1,3394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,3751,3875,-1,-1,1154,-1,-1,1132,-1,-1,4140,1
2,367,-1,-1,3784,-1,-1,-1,-1,-1,-1,-1,-1,1395,-1,-1,-1,1384,-1,4469,4564,-1,-1,-1,-1,3565,-1,-1,-1,5364,1
3,576,-1,-1,4029,-1,-1,-1,-1,-1,1575,-1,-1,-1,1552,-1,-1,-1,96,4617,4727,-1,-1,-1,-1,-1,-1,-1,-1,5353,1
4,845,2834,-1,4224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,133,4744,4831,-1,-1,1519,-1,-1,1496,-1,-1,5427,1
5,156,-1,-1,4070,-1,-1,-1,-1,-1,1848,-1,-1,-1,1797,-1,-1,-1,93,4512,4618,-1,-1,-1,-1,-1,-1,-1,-1,5294,1
6,653,-1,-1,-1,-1,-1,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,904,1
7,799,2105,-1,3032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,4204,4307,-1,-1,923,-1,-1,910,-1,-1,4566,1
8,803,2502,-1,827,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,103,5130,5232,-1,-1,1260,96,-1,-1,-1,1247,6190,1
9,165,-1,-1,3405,-1,-1,-1,-1,-1,-1,-1,-1,1199,-1,-1,-1,1179,-1,4809,4904,-1,-1,-1,-1,3186,-1,-1,-1,5849,1
10,154,-1,-1,3002,-1,-1,-1,-1,-1,-1,-1,-1,1326,-1,-1,-1,1313,-1,3931,4079,-1,-1,-1,-1,2503,-1,-1,-1,4392,1
11,49,2758,-1,4050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,5541,5637,-1,-1,1727,-1,-1,-1,-1,1693,6355,1
12,507,2804,-1,3563,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,4183,4279,-1,-1,1171,-1,-1,-1,-1,1145,4467,1
13,3,-1,-1,86,514,5319,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1173,1128,-1,-1,-1,-1,-1,-1,-1,-1,301,0
14,404,-1,-1,-1,-1,-1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,359,1
15,895,2769,-1,3763,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,91,4229,4318,-1,-1,1243,-1,-1,1230,-1,-1,4966,1
16,255,3731,-1,4846,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,104,5227,5344,-1,-1,2080,-1,-1,-1,-1,2064,6055,1
17,931,-1,-1,606,-1,-1,-1,-1,-1,-1,-1,-1,1126,-1,-1,-1,1111,-1,3328,3433,-1,-1,-1,101,2131,-1,-1,-1,3744,1
18,453,2466,-1,3559,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,116,4400,4507,-1,-1,1239,-1,-1,-1,-1,1216,5405,1
19,862,-1,-1,2411,-1,-1,-1,-1,-1,-1,-1,-1,1098,-1,-1,-1,1077,-1,3241,3352,-1,-1,-1,-1,2172,-1,-1,-1,3528,1
20,329,-1,-1,-1,-1,-1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,682,1
21,661,2493,-1,3267,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,3604,3687,-1,-1,1196,-1,-1,1183,-1,-1,3716,1
